customer_zone_id,customer_city,customer_state,demand,customer_latitude,customer_longitude,avg_freight_value_x,avg_actual_distance_km_x,seller_center_id,seller_zip_code_prefix,seller_city,seller_state,historical_orders,seller_latitude,seller_longitude,avg_freight_value_y,avg_actual_distance_km_y,warehouse_capacity,capacity_utilization_if_proportional,distance_km,cost_per_km_per_order,transportation_cost
barueri_SP,barueri,SP,469,-23.505395008257263,-46.86934631725436,15.098912579957355,214.4726756019689,FC_13405_piracicaba_SP,13405,piracicaba,SP,1562,-22.708702100662567,-47.66470085247146,16.162823303457106,402.10211782744506,3688,0.4235357917570499,120.2687225284667,1.0,56406.03086585088
belem_PA,belem,PA,474,-1.417116348298761,-48.46915391860634,31.46943037974684,2396.3072579687428,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,2158.3347769642114,1.0,1023050.6842810364
brasilia_DF,brasilia,DF,2157,-15.810744714659329,-47.96951753384199,21.1087899860918,830.6771755107036,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,575.3691616366855,1.0,1241071.2816503306
campinas_SP,campinas,SP,1622,-22.90210628071424,-47.07480196598523,14.954969173859432,228.56315040129195,FC_13405_piracicaba_SP,13405,piracicaba,SP,1562,-22.708702100662567,-47.66470085247146,16.162823303457106,402.10211782744506,3688,0.4235357917570499,64.17651759260667,1.0,104094.31153520802
contagem_MG,contagem,MG,475,-19.917084919307605,-44.05881544689928,18.15722105263158,508.223297738601,FC_14840_guariba_SP,14840,guariba,SP,1147,-21.36350170979939,-48.22960077888057,17.43456843940715,610.5904937641259,2708,0.423559822747415,462.81794969556427,1.0,219838.52610539304
curitiba_PR,curitiba,PR,1723,-25.45186172903912,-49.27471806196476,18.79210098665119,404.23519691531374,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,413.30719149224495,1.0,712128.290941138
florianopolis_SC,florianopolis,SC,647,-27.573827052833163,-48.515387381548365,21.29143740340031,590.3168066018545,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,647.5445121956247,1.0,418961.2993905692
fortaleza_CE,fortaleza,CE,692,-3.763521167908132,-38.53359828114688,28.36593930635838,2270.6391669412938,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,2229.486297235517,1.0,1542804.517686978
goiania_GO,goiania,GO,781,-16.685975020219033,-49.27280419548432,21.401856594110114,774.843350997161,FC_15025_sao_jose_do_rio_preto_SP,15025,sao jose do rio preto,SP,1998,-20.80670693101839,-49.389164535249215,18.31210710710711,691.0924322160539,4717,0.4235743057027772,458.3681701091951,1.0,357985.54085528135
juiz_de_fora_MG,juiz de fora,MG,468,-21.755703329742776,-43.3612448563444,22.13403846153846,469.77563341988434,FC_14940_ibitinga_SP,14940,ibitinga,SP,7595,-21.75732063771276,-48.82974353343716,17.77237788018433,539.5559178849824,17934,0.4234972677595628,564.7255252338265,1.0,264291.5458094308
